CUPS;FECHA MEDIDA;TIPO MEDIDA;PERIODO;CONSUMO
ES0339000001000003DT;30/09/2015;Activa;1;341
ES0339000001000003DT;30/09/2015;Activa;2;1409
ES0339000001000003DT;30/09/2015;Activa;3;516
ES0339000001000003DT;30/09/2015;Potencia;1;3
ES0339000001000003DT;30/09/2015;Potencia;2;15
ES0339000001000003DT;30/09/2015;Potencia;3;3
ES0339000001000003DT;30/09/2015;Reactiva;1;126
ES0339000001000003DT;30/09/2015;Reactiva;2;495
ES0339000001000003DT;30/09/2015;Reactiva;3;250
ES0339000001000003DT;31/08/2015;Activa;1;187
ES0339000001000003DT;31/08/2015;Activa;2;836
ES0339000001000003DT;31/08/2015;Activa;3;370
ES0339000001000003DT;31/08/2015;Potencia;1;2
ES0339000001000003DT;31/08/2015;Potencia;2;16
ES0339000001000003DT;31/08/2015;Potencia;3;6
ES0339000001000003DT;31/08/2015;Reactiva;1;46
ES0339000001000003DT;31/08/2015;Reactiva;2;238
ES0339000001000003DT;31/08/2015;Reactiva;3;151
ES0339000001000003DT;31/07/2015;Activa;1;270
ES0339000001000003DT;31/07/2015;Activa;2;1002
ES0339000001000003DT;31/07/2015;Activa;3;474
ES0339000001000003DT;31/07/2015;Potencia;1;15
ES0339000001000003DT;31/07/2015;Potencia;2;18
ES0339000001000003DT;31/07/2015;Potencia;3;7
ES0339000001000003DT;31/07/2015;Reactiva;1;99
ES0339000001000003DT;31/07/2015;Reactiva;2;405
ES0339000001000003DT;31/07/2015;Reactiva;3;265
ES0339000001000003DT;30/06/2015;Activa;1;305
ES0339000001000003DT;30/06/2015;Activa;2;915
ES0339000001000003DT;30/06/2015;Activa;3;450
ES0339000001000003DT;30/06/2015;Potencia;1;8
ES0339000001000003DT;30/06/2015;Potencia;2;15
ES0339000001000003DT;30/06/2015;Potencia;3;6
ES0339000001000003DT;30/06/2015;Reactiva;1;43
ES0339000001000003DT;30/06/2015;Reactiva;2;189
ES0339000001000003DT;30/06/2015;Reactiva;3;134
ES0339000001000003DT;31/05/2015;Activa;1;392
ES0339000001000003DT;31/05/2015;Activa;2;1227
ES0339000001000003DT;31/05/2015;Activa;3;495
ES0339000001000003DT;31/05/2015;Potencia;1;14
ES0339000001000003DT;31/05/2015;Potencia;2;15
ES0339000001000003DT;31/05/2015;Potencia;3;7
ES0339000001000003DT;31/05/2015;Reactiva;1;86
ES0339000001000003DT;31/05/2015;Reactiva;2;396
ES0339000001000003DT;31/05/2015;Reactiva;3;197
ES0339000001000003DT;30/04/2015;Activa;1;436
ES0339000001000003DT;30/04/2015;Activa;2;993
ES0339000001000003DT;30/04/2015;Activa;3;416
ES0339000001000003DT;30/04/2015;Potencia;1;21
ES0339000001000003DT;30/04/2015;Potencia;2;19
ES0339000001000003DT;30/04/2015;Potencia;3;3
ES0339000001000003DT;30/04/2015;Reactiva;1;151
ES0339000001000003DT;30/04/2015;Reactiva;2;309
ES0339000001000003DT;30/04/2015;Reactiva;3;187
ES0339000001000003DT;31/03/2015;Activa;1;628
ES0339000001000003DT;31/03/2015;Activa;2;796
ES0339000001000003DT;31/03/2015;Activa;3;351
ES0339000001000003DT;31/03/2015;Potencia;1;15
ES0339000001000003DT;31/03/2015;Potencia;2;15
ES0339000001000003DT;31/03/2015;Potencia;3;4
ES0339000001000003DT;31/03/2015;Reactiva;1;212
ES0339000001000003DT;31/03/2015;Reactiva;2;195
ES0339000001000003DT;31/03/2015;Reactiva;3;161
ES0339000001000003DT;28/02/2015;Activa;1;843
ES0339000001000003DT;28/02/2015;Activa;2;1121
ES0339000001000003DT;28/02/2015;Activa;3;512
ES0339000001000003DT;28/02/2015;Potencia;1;16
ES0339000001000003DT;28/02/2015;Potencia;2;14
ES0339000001000003DT;28/02/2015;Potencia;3;6
ES0339000001000003DT;28/02/2015;Reactiva;1;240
ES0339000001000003DT;28/02/2015;Reactiva;2;241
ES0339000001000003DT;28/02/2015;Reactiva;3;202
ES0339000001000003DT;31/01/2015;Activa;1;621
ES0339000001000003DT;31/01/2015;Activa;2;666
ES0339000001000003DT;31/01/2015;Activa;3;450
ES0339000001000003DT;31/01/2015;Potencia;1;17
ES0339000001000003DT;31/01/2015;Potencia;2;18
ES0339000001000003DT;31/01/2015;Potencia;3;9
ES0339000001000003DT;31/01/2015;Reactiva;1;235
ES0339000001000003DT;31/01/2015;Reactiva;2;138
ES0339000001000003DT;31/01/2015;Reactiva;3;196
ES0339000001000003DT;31/12/2014;Activa;1;651
ES0339000001000003DT;31/12/2014;Activa;2;1030
ES0339000001000003DT;31/12/2014;Activa;3;464
ES0339000001000003DT;31/12/2014;Potencia;1;18
ES0339000001000003DT;31/12/2014;Potencia;2;20
ES0339000001000003DT;31/12/2014;Potencia;3;9
ES0339000001000003DT;31/12/2014;Reactiva;1;265
ES0339000001000003DT;31/12/2014;Reactiva;2;251
ES0339000001000003DT;31/12/2014;Reactiva;3;191
ES0339000001000003DT;30/11/2014;Activa;1;286
ES0339000001000003DT;30/11/2014;Activa;2;562
ES0339000001000003DT;30/11/2014;Activa;3;402
ES0339000001000003DT;30/11/2014;Potencia;1;13
ES0339000001000003DT;30/11/2014;Potencia;2;17
ES0339000001000003DT;30/11/2014;Potencia;3;8
ES0339000001000003DT;30/11/2014;Reactiva;1;116
ES0339000001000003DT;30/11/2014;Reactiva;2;192
ES0339000001000003DT;30/11/2014;Reactiva;3;265
ES0339000001000003DT;31/10/2014;Activa;1;121
ES0339000001000003DT;31/10/2014;Activa;2;765
ES0339000001000003DT;31/10/2014;Activa;3;399
ES0339000001000003DT;31/10/2014;Potencia;1;18
ES0339000001000003DT;31/10/2014;Potencia;2;20
ES0339000001000003DT;31/10/2014;Potencia;3;12
ES0339000001000003DT;31/10/2014;Reactiva;1;25
ES0339000001000003DT;31/10/2014;Reactiva;2;204
ES0339000001000003DT;31/10/2014;Reactiva;3;255
ES0339000001000003DT;30/09/2014;Activa;1;382
ES0339000001000003DT;30/09/2014;Activa;2;1594
ES0339000001000003DT;30/09/2014;Activa;3;637
ES0339000001000003DT;30/09/2014;Potencia;1;19
ES0339000001000003DT;30/09/2014;Potencia;2;21
ES0339000001000003DT;30/09/2014;Potencia;3;13
ES0339000001000003DT;30/09/2014;Reactiva;1;51
